No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
38,Dreger,Darren,TSN,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","Blake Wheeler, Winnipeg Jets"
39,Dryden,Steve,TSN,"Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
40,Duhatschek,Eric,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
41,El-Bashir,Tarik,NBC Sports Washington,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
42,Engels,Eric,Sportsnet,"Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
43,Erlendsson,Erik,LightningInsider.com,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
44,Ferraro,Ray,TSN / NBC,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers",Evgeni Malkin. Pittsburgh Penguins,"Connor McDavid, Edmonton Oilers"
45,Fish,Wayne,FlyingFishHockey.com,"Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Brad Marchand, Boston Bruins","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers"
46,Fox,Luke,Sportsnet,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers",Evgeni Malkin. Pittsburgh Penguins
47,Francis,Eric,Calgary Sun,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Brad Marchand, Boston Bruins","Blake Wheeler, Winnipeg Jets",Evgeni Malkin. Pittsburgh Penguins
48,Friedman,Elliotte,Sportsnet,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
49,Gackle,Paul,San Jose Mercury News,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
50,Gagnon,Francois,RDS,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
51,Garrioch,Bruce,Ottawa Sun,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
52,Gilbertson,Wes,Calgary Sun,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
53,Godin,Marc-Antoine,Athletique / The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings"
54,Gorten,Steve,Columbus Dispatch,"Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
55,Graff,Chad,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
