No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
86,Lalime,Patrick,TVA,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Shayne Gostisbehere, Philadelphia Flyers","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
87,Larkin,Matt,The Hockey News,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Mark Giordano, Calgary Flames"
88,Lavoie,Renaud,TVA,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators"
89,Lazerus,Mark,Chicago Sun-Times,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars"
90,Leahy,Sean,NBC Sports,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets"
91,LeBrun,Pierre,The Athletic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Marc-Edouard Vlasic, San Jose Sharks","PK Subban, Nashville Predators"
92,Lefrancois,Guillaume,La Presse,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","Alex Pietrangelo, St. Louis. Blues","Ryan Suter, Minnesota Wild"
93,Loftus,Mike,Patriot Ledger,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals"
94,Lukan,Alison,The Athletic,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals"
95,MacGregor,Roy,The Globe and Mail,"Victor Hedman, Tampa Bay Lightning","John Klingberg, Dallas Stars","Drew Doughty, Los Angeles Kings","Erik Karlsson, Ottawa Senators","Brent Burns, San Jose Sharks"
96,MacIntyre,Iain,Sportsnet,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Brent Burns, San Jose Sharks","John Klingberg, Dallas Stars"
97,Mackey,Jason,Pittsburgh Post-Gazette,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
