No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
66,Hickey,Pat,Montreal Gazette,"Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","Alex DeBrincat, Chicago Blackhawks","Jared Spurgeon, Minnesota Wild","Marc-Edouard Vlasic, San Jose Sharks"
67,Hine,Chris,Minneapolis Star Tribune,"William Karlsson, Vegas Golden Knights","Evgenii Dadonov, Florida Panthers","Alex DeBrincat, Chicago Blackhawks","William Nylander, Toronto Maple Leafs","Rickard Rakell, Anaheim Ducks"
68,Hoffren,Sami,Iltasanomat,"Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Logan Couture, San Jose Sharks","Morgan Rielly, Toronto Maple Leafs"
69,Hoppe,Bill,Olean Times Herald,"Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Evgenii Dadonov, Florida Panthers","William Karlsson, Vegas Golden Knights","Rickard Rakell, Anaheim Ducks"
70,Hornby,Lance,Toronto Sun,"Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Jared Spurgeon, Minnesota Wild","Ryan O'Reilly, Buffalo Sabres","Henrik Zetterberg, Detroit Red Wings"
71,Hughes,Travis,SB Nation,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Patrik Laine, Winnipeg Jets","Claude Giroux, Philadelphia Flyers"
72,Hughson,Jim,HNIC,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Johnny Gaudreau, Calgary Flames","Auston Matthews, Toronto Maple Leafs"
73,Isaac,Dave,South Jersey Courier-Post,"Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights","Ryan Ellis, Nashville Predators"
74,Johnston,Chris,Sportsnet,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Rickard Rakell, Anaheim Ducks","Mark Stone, Ottawa Senators","Henrik Zetterberg, Detroit Red Wings"
75,Kaplan,Emily,ESPN,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Connor McDavid, Edmonton Oilers","Auston Matthews, Toronto Maple Leafs","Alex Pietrangelo, St. Louis Blues"
76,Kay,Jason,The Hockey News,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Auston Matthews, Toronto Maple Leafs","Evgenii Dadonov, Florida Panthers"
77,Kennedy,Ryan,The Hockey News,"William Karlsson, Vegas Golden Knights","William Nylander, Toronto Maple Leafs","Jaccob Slavin, Carolina Hurricanes","Zach Werenski, Columbus Blue Jackets","Ryan O'Reilly, Buffalo Sabres"
78,Khan,Ansar,MLive Media Group,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Rickard Rakell, Anaheim Ducks","Mikael Granlund, Minnesota Wild"
79,Koshan,Terry,Toronto Sun,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Morgan Rielly, Toronto Maple Leafs"
80,Kovacevic,Dejan,DKonPittsburghSports.com,"Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Alex DeBrincat, Chicago Blackhawks","John Klingberg, Dallas Stars","Logan Couture, San Jose Sharks"
81,Kulfan,Ted,Detroit News,"Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Marc-Edouard Vlasic, San Jose Sharks","Logan Couture, San Jose Sharks"
82,Kurz,Kevin,The Athletic,"Auston Matthews, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres","Logan Couture, San Jose Sharks","Alex DeBrincat, Chicago Blackhawks","Jared Spurgeon, Minnesota Wild"
83,Kuzma,Ben,The Province,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","Daniel Sedin, Vancouver Canucks","Henrik Sedin, Vancouver Canucks"
84,Kypreos,Nick,HNIC,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Marc-Edouard Vlasic, San Jose Sharks","Aleksander Barkov, Florida Panthers","Alex Pietrangelo, St. Louis Blues"
85,Labbe,Richard,La Presse,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Marc-Edouard Vlasic, San Jose Sharks","Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights"
86,Lalime,Patrick,TVA,"Logan Couture, San Jose Sharks","Alex DeBrincat, Chicago Blackhawks","Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Marc-Edouard Vlasic, San Jose Sharks"
87,Larkin,Matt,The Hockey News,"Jaccob Slavin, Carolina Hurricanes","Aleksander Barkov, Florida Panthers","Zach Werenski, Columbus Blue Jackets","Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights"
88,Lavoie,Renaud,TVA,"Ryan O'Reilly, Buffalo Sabres","Ryan Spooner, New York Rangers","Ondrej Palat, Tampa Bay Lightning","Tobias Rieder, Los Angeles Kings","Evgenii Dadonov, Florida Panthers"
