player,TEAM,GP,G,A,PTS,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
PAUL.LADUE,LA,12,3,1,4,6,0.33,13,23.1,2,1,0,0,0
MAXIM.MAMIN,FLA,26,3,1,4,7,0.15,28,10.7,1,0,0,0,0
LUKE.KUNIN,MIN,19,2,2,4,13,0.21,32,6.3,0,0,0,1,0
EVGENY.SVECHNIKOV,DET,14,2,2,4,8,0.29,15,13.3,0,0,0,0,0
KURTIS.MACDERMID,LA,34,1,3,4,57,0.12,19,5.3,0,0,0,0,0
JULIUS.HONKA,DAL,42,1,3,4,14,0.1,42,2.4,0,0,1,0,0
FILIP.CHLAPIK,OTT,20,1,3,4,4,0.2,21,4.8,0,0,1,0,0
ETHAN.BEAR,EDM,18,1,3,4,10,0.22,20,5,0,1,1,0,0
MARCUS.PETTERSSON,ANA,22,1,3,4,6,0.18,16,6.3,0,0,1,0,0
SEBASTIAN.AHO,NYI,22,1,3,4,6,0.18,24,4.2,0,1,0,0,0
DANNY.O'REGAN,BUF/SJ,21,0,4,4,2,0.19,17,0,0,0,1,0,0
NICK.SEELER,MIN,22,0,4,4,21,0.18,17,0,0,0,0,0,0
ANTON.LINDHOLM,COL,48,0,4,4,14,0.08,22,0,0,0,0,0,0
DEAN.KUKAN,CBJ,11,0,4,4,2,0.36,12,0,0,0,0,0,0
WARREN.FOEGELE,CAR,2,2,1,3,0,1.5,6,33.3,0,0,0,0,0
DANIEL.SPRONG,PIT,8,2,1,3,0,0.38,22,9.1,1,0,0,0,0
ANDREAS.JOHNSSON,TOR,9,2,1,3,0,0.33,19,10.5,0,0,1,0,0
FILIP.CHYTIL,NYR,9,1,2,3,4,0.33,21,4.8,0,0,0,0,0
SAMMY.BLAIS,STL,11,1,2,3,6,0.27,9,11.1,0,1,0,0,0
ANDREI.MIRONOV,COL,10,1,2,3,12,0.3,3,33.3,0,0,0,0,0
NOAH.JUULSEN,MTL,23,1,2,3,4,0.13,33,3,0,0,0,0,0
CHRISTIAN.WOLANIN,OTT,10,1,2,3,0,0.3,14,7.1,0,0,0,0,0
TREVOR.MURPHY,ARI,8,1,2,3,0,0.38,5,20,0,0,0,0,0
TOMAS.HYKA,VGS,10,1,2,3,0,0.3,15,6.7,0,0,1,0,0
DYLAN.SIKURA,CHI,5,0,3,3,0,0.6,9,0,0,0,0,0,0
KAILER.YAMAMOTO,EDM,9,0,3,3,2,0.33,23,0,0,0,1,0,0
JOE.HICKETTS,DET,5,0,3,3,2,0.6,2,0,0,0,1,0,0
FREDERICK.GAUDREAU,NSH,20,0,3,3,2,0.15,14,0,0,0,0,0,0
ROLAND.MCKEOWN,CAR,10,0,3,3,19,0.3,7,0,0,0,0,0,0
A.J..GREER,COL,17,0,3,3,29,0.18,13,0,0,0,0,0,0
CARL.DAHLSTROM,CHI,11,0,3,3,0,0.27,12,0,0,0,0,0,0
ROB.O'GARA,BOS/NYR,30,0,3,3,6,0.1,21,0,0,0,0,0,0
JUSTIN.HOLL,TOR,2,2,0,2,0,1,2,100,1,0,0,0,0
MATTHEW.HIGHMORE,CHI,13,2,0,2,0,0.15,27,7.4,0,0,0,0,0
SPENCER.FOO,CGY,4,2,0,2,0,0.5,16,12.5,0,0,0,0,0
