Player,Season,Team,GP,TOI,SA,GA,Sv_perc,xSv_perc,dSv_perc,LDSv_perc,MDSv_perc,HDSv_perc,GSAA
Calvin Pickard,20172018,TOR,1,62.58,28,4,85.71,94.04,-8.32,92.31,76.92,100,-2.33
Cam Talbot,20172018,EDM,67,3705.38,2024,187,90.76,90.5,0.26,97.83,91.02,79.11,5.22
Cam Ward,20172018,CAR,43,2454.33,1186,112,90.56,91.42,-0.86,97.32,89.51,78.26,-10.21
Carey Price,20172018,MTL,49,2834.62,1481,148,90.01,91.47,-1.46,97.35,89.57,75.17,-21.69
Carter Hutton,20172018,STL,32,1609.53,810,56,93.09,91,2.09,98.22,95.55,79.44,16.94
Casey Desmith,20172018,PIT,14,700.15,356,28,92.13,89.95,2.19,98.52,96.61,78.64,7.78
Chad Johnson,20172018,BUF,36,1769.67,959,104,89.16,91.06,-1.91,98.01,89.24,72.3,-18.31
Charlie Lindgren,20172018,MTL,14,832.97,457,42,90.81,90.68,0.13,98.91,91.08,77.78,0.58
Chris Gibson,20172018,NYI,8,426.87,284,26,90.85,90.62,0.23,98.13,89.38,81.25,0.64
Collin Delia,20172018,CHI,2,105.98,63,7,88.89,92.92,-4.03,97.06,80,77.78,-2.54
Connor Hellebuyck,20172018,WPG,67,3960.9,2047,156,92.38,91.45,0.93,97.64,92.18,81.19,18.98
Corey Crawford,20172018,CHI,28,1583.5,842,60,92.87,90.79,2.09,97.85,92.58,85.44,17.58
Cory Schneider,20172018,N.J,40,2291.97,1210,114,90.58,90.29,0.29,96.56,91.47,80.66,3.49
Craig Anderson,20172018,OTT,58,3230.53,1759,178,89.88,91,-1.12,96.54,91.41,75.25,-19.63
Curtis Mcelhinney,20172018,TOR,18,959.12,509,34,93.32,91.04,2.28,98.51,92.67,85.47,11.62
Daniel Taylor,20172018,OTT,1,58.48,34,4,88.24,92.76,-4.53,100,87.5,60,-1.54
Darcy Kuemper,20172018,L.A/ ARI,29,1595.88,833,67,91.96,90.74,1.22,97.62,93.29,80.4,10.15
David Rittich,20172018,CGY,20,1008.23,512,49,90.43,91.15,-0.72,97.31,90.06,76.85,-3.68
Devan Dubnyk,20172018,MIN,60,3450.28,1769,145,91.8,92.6,-0.8,97.08,91.22,76.66,-14.13
Dylan Ferguson,20172018,VGK,1,9.23,2,1,50,84,-34,0,0,50,-0.68
Eddie Lack,20172018,N.J/ CGY,8,343.62,177,23,87.01,91.03,-4.03,95.45,87.67,71.05,-7.13
Eric Comrie,20172018,WPG,3,180.25,94,12,87.23,90.96,-3.72,95,90.62,68.18,-3.5
Frederik Andersen,20172018,TOR,66,3888.52,2211,182,91.77,90.76,1.01,97.24,93.52,79.49,22.24
Harri Sateri,20172018,FLA,9,492.6,271,24,91.14,91.23,-0.08,97.25,95,74.19,-0.22
Henrik Lundqvist,20172018,NYR,63,3502.5,2037,174,91.46,90.89,0.56,97.66,90.76,82.17,11.47
Jack Campbell,20172018,L.A,5,246.62,133,11,91.73,93.23,-1.5,98.33,86.21,86.67,-2
Jacob Markstrom,20172018,VAN,59,3354.4,1717,151,91.21,91.44,-0.24,97.32,91.41,79.08,-4.09
Jake Allen,20172018,STL,59,3316.97,1614,152,90.58,91.57,-0.99,96.79,90.21,78.9,-15.93
